sourceId,eventType,eventTime,currentAggregateRate
17,SOURCE_ON,17.063188776483976,11.0
2,SOURCE_OFF,17.523529544921423,10.0
0,SOURCE_OFF,17.638755867418066,9.0
16,SOURCE_OFF,17.903823645644824,8.0
14,SOURCE_ON,17.999380128545184,9.0
19,SOURCE_ON,18.043701075096124,10.0
18,SOURCE_OFF,18.399275111156378,9.0
4,SOURCE_OFF,18.456363999423765,8.0
6,SOURCE_ON,18.485780516476375,9.0
1,SOURCE_ON,18.706345362331504,10.0
0,SOURCE_ON,18.99444744290752,11.0
16,SOURCE_ON,19.006087310651857,12.0
19,SOURCE_OFF,19.1116662324315,11.0
12,SOURCE_OFF,19.223631600567277,10.0
13,SOURCE_ON,19.289117591027274,11.0
18,SOURCE_ON,19.40389803518656,12.0
4,SOURCE_ON,19.64936759650895,13.0
15,SOURCE_ON,19.698297189134614,14.0
3,SOURCE_ON,19.72200169591268,15.0
11,SOURCE_OFF,20.106895673175696,14.0
17,SOURCE_OFF,20.107270915615967,13.0
19,SOURCE_ON,20.243923301548293,14.0
13,SOURCE_OFF,20.311476038528586,13.0
1,SOURCE_OFF,20.468048987006455,12.0
16,SOURCE_OFF,20.47148608439886,11.0
0,SOURCE_OFF,20.89161200987111,10.0
2,SOURCE_ON,20.90046273535704,11.0
15,SOURCE_OFF,20.99597821496169,10.0
14,SOURCE_OFF,20.999361189034996,9.0
1,SOURCE_ON,21.478809075916473,10.0
16,SOURCE_ON,21.534340476436615,11.0
17,SOURCE_ON,21.53965872013027,12.0
12,SOURCE_ON,21.59328078096039,13.0
2,SOURCE_OFF,22.229673986826494,12.0
15,SOURCE_ON,22.463478252393983,13.0
1,SOURCE_OFF,22.48670830359025,12.0
14,SOURCE_ON,22.682456282212204,13.0
19,SOURCE_OFF,23.369085974062507,12.0
18,SOURCE_OFF,23.41038871156612,11.0
2,SOURCE_ON,23.597393409481395,12.0
14,SOURCE_OFF,23.683003373762247,11.0
13,SOURCE_ON,23.872275736633572,12.0
1,SOURCE_ON,24.198285710517087,13.0
8,SOURCE_ON,24.214981280717268,14.0
17,SOURCE_OFF,24.302103872553534,13.0
18,SOURCE_ON,24.4191675837092,14.0
19,SOURCE_ON,24.419380742864725,15.0
3,SOURCE_OFF,24.861191974302287,14.0
12,SOURCE_OFF,25.067763158098312,13.0
14,SOURCE_ON,25.162910451594602,14.0
15,SOURCE_OFF,25.420921415522614,13.0
8,SOURCE_OFF,25.434544409359436,12.0
1,SOURCE_OFF,25.45289338072722,11.0
17,SOURCE_ON,25.560187474642394,12.0
18,SOURCE_OFF,25.732713674704005,11.0
19,SOURCE_OFF,26.247311365404673,10.0
3,SOURCE_ON,26.295583555062322,11.0
14,SOURCE_OFF,26.57297054988457,10.0
1,SOURCE_ON,26.622583300138345,11.0
7,SOURCE_OFF,26.88030124213786,10.0
8,SOURCE_ON,27.054347245738867,11.0
18,SOURCE_ON,27.366772302240907,12.0
15,SOURCE_ON,27.494560661593113,13.0
3,SOURCE_OFF,27.567023939600123,12.0
14,SOURCE_ON,27.767445534439833,13.0
12,SOURCE_ON,28.002451674038927,14.0
15,SOURCE_OFF,28.674146359870708,13.0
1,SOURCE_OFF,28.980088912777404,12.0
0,SOURCE_ON,29.027607387195967,13.0
3,SOURCE_ON,29.048040309286723,14.0
16,SOURCE_OFF,29.215375063635893,13.0
12,SOURCE_OFF,29.24574445320547,12.0
14,SOURCE_OFF,29.509608650695316,11.0
7,SOURCE_ON,29.579514841904047,12.0
6,SOURCE_OFF,29.947567413599995,11.0
19,SOURCE_ON,29.95483023894075,12.0
0,SOURCE_OFF,30.03834982408834,11.0
18,SOURCE_OFF,30.191106607207022,10.0
1,SOURCE_ON,30.308588509532555,11.0
15,SOURCE_ON,30.50082088311538,12.0
12,SOURCE_ON,30.521739083572722,13.0
14,SOURCE_ON,30.557423680111548,14.0
17,SOURCE_OFF,30.924918245253874,13.0
9,SOURCE_ON,30.986788972016235,14.0
7,SOURCE_OFF,31.115343997898304,13.0
1,SOURCE_OFF,31.357196676090066,12.0
18,SOURCE_ON,31.461757669029662,13.0
0,SOURCE_ON,31.48999853944135,14.0
11,SOURCE_ON,31.552334443117907,15.0
12,SOURCE_OFF,31.577066570627785,14.0
19,SOURCE_OFF,31.898121519353623,13.0
6,SOURCE_ON,31.976992598739052,14.0
10,SOURCE_OFF,32.39683916674291,13.0
18,SOURCE_OFF,32.533934226169976,12.0
0,SOURCE_OFF,32.5393996241672,11.0
9,SOURCE_OFF,32.571557534622244,10.0
13,SOURCE_OFF,32.67768348617171,9.0
17,SOURCE_ON,33.04610364456264,10.0
6,SOURCE_OFF,33.19489364599159,9.0
7,SOURCE_ON,33.33051972094525,10.0
0,SOURCE_ON,33.576383133218535,11.0
12,SOURCE_ON,34.37359477818557,12.0
15,SOURCE_OFF,34.75447947885745,11.0
9,SOURCE_ON,34.76892275489664,12.0
0,SOURCE_OFF,34.77766618165195,11.0
6,SOURCE_ON,34.89455534132659,12.0
7,SOURCE_OFF,35.04923509136565,11.0
1,SOURCE_ON,35.20862401529079,12.0
17,SOURCE_OFF,35.62882233016326,11.0
6,SOURCE_OFF,35.94634883186248,10.0
9,SOURCE_OFF,35.991185888595275,9.0
7,SOURCE_ON,36.06405855564275,10.0
7,SOURCE_OFF,37.16068292621005,9.0
17,SOURCE_ON,37.2882535162595,10.0
6,SOURCE_ON,37.48136013230315,11.0
0,SOURCE_ON,37.539984472633506,12.0
10,SOURCE_ON,37.54083703756081,13.0
19,SOURCE_ON,37.68666484502569,14.0
9,SOURCE_ON,37.77012431859858,15.0
15,SOURCE_ON,37.797932428185916,16.0
16,SOURCE_ON,38.02948273554087,17.0
7,SOURCE_ON,38.60552501652617,18.0
17,SOURCE_OFF,38.762344622827854,17.0
0,SOURCE_OFF,38.765237801926695,16.0
6,SOURCE_OFF,38.778569218084186,15.0
19,SOURCE_OFF,38.78933178880051,14.0
9,SOURCE_OFF,38.94279717951253,13.0
15,SOURCE_OFF,39.16035534021082,12.0
11,SOURCE_OFF,39.27394529789405,11.0
7,SOURCE_OFF,39.80674797943955,10.0
17,SOURCE_ON,39.849127166734284,11.0
19,SOURCE_ON,39.87028131901803,12.0
0,SOURCE_ON,40.04651727720774,13.0
11,SOURCE_ON,40.49032380850588,14.0
18,SOURCE_ON,40.68621272445746,15.0
9,SOURCE_ON,40.73733302508809,16.0
1,SOURCE_OFF,40.803225447640095,15.0
15,SOURCE_ON,41.15146425890238,16.0
7,SOURCE_ON,41.164890999992814,17.0
0,SOURCE_OFF,41.441149857565115,16.0
