time,totalAggregateRate
0.0,0.0
2.829511947736361,0.0
23.387754968389427,1.0
30.4096578187034,0.0
32.255470803046556,1.0
33.76138695096664,0.0
35.01747076458241,1.0
36.5486472685047,0.0
39.16175615708906,1.0
57.97982142206057,0.0
58.99597827521118,1.0
60.68100249553481,0.0
61.75601189894455,1.0
62.808168998341145,0.0
64.12481196350382,1.0
68.27228151948009,0.0
69.62852866424163,1.0
71.04334940236667,0.0
72.69033465320638,1.0
76.10438771044521,0.0
77.27615290892928,1.0
78.86562888785477,0.0
79.90562854829383,1.0
81.99138921552041,0.0
91.722261103609,1.0
95.83455845837737,0.0
97.47275017211236,1.0
98.66878810016938,0.0
101.9624878676372,1.0
104.40779129033076,0.0
111.91808974751123,1.0
113.50605368686183,0.0
114.8502148611297,1.0
116.13314070865019,0.0
130.93106768765944,1.0
132.02318801256038,0.0
138.0144965283769,1.0
139.0917655696537,0.0
140.58072743563844,1.0
147.54673185706062,0.0
149.0319283821536,1.0
152.6650730302773,0.0
181.97386592122052,1.0
188.88096184803737,0.0
191.96960163514328,1.0
193.37310763247788,0.0
194.48559822708702,1.0
199.15014480232023,0.0
200.37764167348328,1.0
202.1215646457947,0.0
203.24247419183456,1.0
204.41526176424927,0.0
206.82761306158096,1.0
210.18616261121846,0.0
211.309417576046,1.0
231.37617952549218,0.0
234.02735303491076,1.0
235.24013121825826,0.0
269.7823231780342,1.0
271.05522276588454,0.0
274.418938459416,1.0
276.9689319764428,0.0
279.9266438849204,1.0
281.4134808476173,0.0
284.34154286895654,1.0
309.07038217917693,0.0
314.34417358065076,1.0
316.8606514857913,0.0
317.88590443286455,1.0
319.3230189373482,0.0
320.82587870964426,1.0
322.0626181377591,0.0
323.4701090074801,1.0
327.1312254195315,0.0
328.8176948751965,1.0
334.96898934763175,0.0
336.8851749611088,1.0
338.21759976816224,0.0
341.03988840262014,1.0
346.87465471719463,0.0
347.95370162932284,1.0
349.45623086542014,0.0
350.9921374664216,1.0
361.37476403523846,0.0
364.96494156182433,1.0
366.02878999666865,0.0
370.9254409054704,1.0
375.9056571839747,0.0
377.5456903324232,1.0
380.25189170446095,0.0
381.3853848800305,1.0
383.7997512607395,0.0
386.6061279641222,1.0
388.5572208987104,0.0
389.5733049638087,1.0
405.02059051073564,0.0
406.9651739509198,1.0
419.81771311255295,0.0
422.6211687752041,1.0
486.3681798295088,0.0
491.0185383552881,1.0
495.0786589056503,0.0
496.5178793970726,1.0
498.5888817415873,0.0
501.34478358013916,1.0
502.84703383980724,0.0
504.15280705862136,1.0
508.59655254406425,0.0
509.7740421209573,1.0
517.5402355178084,0.0
520.013028312161,1.0
521.4827427323227,0.0
522.5300620565936,1.0
527.8353299655377,0.0
528.8838429487357,1.0
529.9117889551325,0.0
531.077060215539,1.0
536.9099271477166,0.0
539.5856714748903,1.0
541.4688771736749,0.0
542.8903444138837,1.0
547.2130983445599,0.0
549.2060261122664,1.0
552.0465051185367,0.0
554.3925417529025,1.0
558.7244446476668,0.0
559.79390069482,1.0
561.2286509109634,0.0
563.2094692646689,1.0
566.0139568877711,0.0
567.4313226534761,1.0
571.7348050808724,0.0
572.7422985027052,1.0
574.9313107009448,0.0
577.8758224917414,1.0
580.9461165162035,0.0
582.6434198705148,1.0
589.5056912714368,0.0
618.8101316801072,1.0
621.5443342373966,0.0
628.9145042580944,1.0
630.2669372798937,0.0
632.1232808988708,1.0
633.7608804325647,0.0
635.0789954936017,1.0
647.3412364077786,0.0
648.4380559760702,1.0
654.408499839063,0.0
655.4591551670109,1.0
659.0933217536918,0.0
660.724435141783,1.0
664.350417186174,0.0
670.4911938846363,1.0
674.243440776615,0.0
676.6755171354725,1.0
686.095033627189,0.0
687.1441613315676,1.0
695.1900479941498,0.0
698.3573124274111,1.0
699.620332246956,0.0
701.5639717978502,1.0
702.9458331816647,0.0
707.9607052267941,1.0
710.5532430243711,0.0
714.3330216739547,1.0
716.9689586253289,0.0
718.0299484551438,1.0
719.1630277075519,0.0
721.6743042043297,1.0
722.9626831401101,0.0
724.1752297532872,1.0
727.0012820543833,0.0
728.5527108580885,1.0
731.7063641663461,0.0
733.723089339749,1.0
735.3071471954916,0.0
748.8194755942375,1.0
750.1503525334061,0.0
755.5419508477016,1.0
756.7617570750167,0.0
758.4022390162569,1.0
759.9317764476477,0.0
761.0998635394596,1.0
765.2052247763676,0.0
766.2822866357906,1.0
941.1871691727372,0.0
942.4851743699966,1.0
947.1259537585313,0.0
948.580416626273,1.0
949.8688767118082,0.0
952.2187914478209,1.0
955.8263996929101,0.0
957.9300243916813,1.0
1000.0,1.0
